linenum,lat,lng,county,city,carBrand,carModel,price,yearOfDistribution,motor,power,oblikVozila,brojVrata,mileage,url
1,44.13485046109,15.215161632162,Zadarska,Zadar,GMC,Envoy,3.600 €,2000. godište,Benzin,142 kW,terensko vozilo / SUV / pick up,5,156000 km,https://www.njuskalo.hr/auti/gmc-envoy-jimmy-c-420341-automatik-oglas-42069864
3,46.291486009574925,16.19313627796373,Varaždinska,Maruševec,GMC,Envoy,65.000 €,1996. godište,Diesel,134 kW,terensko vozilo / SUV / pick up,4,199717 km,https://www.njuskalo.hr/auti/gmc-sie-6.5-automatik-oglas-30407437
