linenum,lat,lng,county,city,carBrand,carModel,price,yearOfDistribution,motor,power,oblikVozila,brojVrata,mileage,url
1,51.062512226136,10.609218517774,Njemačka,,Maybach,57,114.990 €,2018. godište,Benzin,345 kW,limuzina,4,108120 km,https://www.njuskalo.hr/auti/maybach-s560-automatik-svojim-kamionima-uvozimo-registracije-oglas-42257815
2,51.063725650408,10.615706318789,Njemačka,,Maybach,57,115.996 €,2019. godište,Benzin,463 kW,limuzina,4,59000 km,https://www.njuskalo.hr/auti/maybach-57-650-automatik-svojim-kamionima-uvozimo-registracije-oglas-42012532
3,51.060189685916,10.613234042159,Njemačka,,Maybach,57,134.950 €,2018. godište,Benzin,463 kW,limuzina,5,18762 km,https://www.njuskalo.hr/auti/maybach-57-s650-automatik-svojim-kamionima-uvozimo-registracije-oglas-41749753
