linenum,lat,lng,county,city,carBrand,carModel,price,yearOfDistribution,motor,power,oblikVozila,brojVrata,mileage,url
24,45.355614,14.365815,Primorsko-goranska,Rijeka,Alfa Romeo,Giulietta,7.999 €,2011. godište,Diesel,103 kW,hatchback,5,163181 km,https://www.njuskalo.hr/auti/alfa-romeo-giulietta-2.0-jtd-servisna-garancija-reg-1-god-oglas-41000557
25,45.354916,14.364039,Primorsko-goranska,Rijeka,Alfa Romeo,Giulia,22.999 €,2018. godište,Diesel,110 kW,limuzina,4,138256 km,https://www.njuskalo.hr/auti/alfa-romeo-giulia-2.2-jtd-model-2019-130.000km-servisna-reg-oglas-41919341
26,43.519129291455,16.465158441132,Splitsko-dalmatinska,Split,Alfa Romeo,159,7.400 €,2009. godište,Diesel,110 kW,limuzina,4,225000 km,https://www.njuskalo.hr/auti/alfa-romeo-159-1.9-jtdm-ti-oglas-41697008
27,45.827541017199,16.04786961708,Grad Zagreb,Donja Dubrava,Alfa Romeo,147,2.850 €,2005. godište,Diesel,103 kW,limuzina,5,203212 km,https://www.njuskalo.hr/auti/alfa-romeo-147-1.9-jtd-oglas-42050938
28,46.226654,16.128149,Varaždinska,Ivanec,Alfa Romeo,159,5.999 €,2009. godište,Diesel,88 kW,limuzina,4,190000 km,https://www.njuskalo.hr/auti/alfa-romeo-159-1.9-jtdm-oglas-40692261
29,45.777529325268,15.940771485425,Grad Zagreb,Novi Zagreb - Zapad,Alfa Romeo,Giulietta,14.500 €,2017. godište,Diesel,88 kW,hatchback,5,158000 km,https://www.njuskalo.hr/auti/giulietta-2017-1.6-nije-uvoz-automatik-supersportiva-oglas-41593261
30,45.68983,16.101091,Zagrebačka,Velika Gorica - Okolica,Alfa Romeo,Stelvio,27.200 €,2019. godište,Diesel,140 kW,terensko vozilo / SUV / pick up,5,135000 km,https://www.njuskalo.hr/auti/alfa-romeo-stelvio-2.2-q4-servisna-knjizica-oglas-41163088
31,45.834274,16.114977,Grad Zagreb,Sesvete,Alfa Romeo,Giulia,19.700 €,2016. godište,Diesel,132 kW,limuzina,5,105000 km,https://www.njuskalo.hr/auti/alfa-romeo-giulia-2.2-jtd-kamera-senzor-mrtvog-kuta-radar-ae-oglas-42285434
32,45.61385,15.4757,Karlovačka,Ozalj,Alfa Romeo,166,3.800 €,2001. godište,Diesel,103 kW,limuzina,4,218000 km,https://www.njuskalo.hr/auti/alfa-romeo-166-2.4-jtd-oglas-42046141
33,45.09159,14.117181,Istarska,Labin,Alfa Romeo,Giulia,23.499,2018. godište,Diesel,132 kW,limuzina,4,163000 km,https://www.njuskalo.hr/auti/alfa-romeo-giulia-2.2-jtd-q4-reg-08-24-gume-servis-besprijekorna-oglas-41465564
34,46.164073374093,15.868651531811,Krapinsko-zagorska,Krapina,Alfa Romeo,Giulia,18.500 €,2018. godište,Diesel,100 kW,limuzina,5,159600 km,https://www.njuskalo.hr/auti/alfa-romeo-giulia-2.2-jtd-automatik-2018-servisna-odlicno-stanje-oglas-41615112
35,45.859575331137,16.111361872027,Grad Zagreb,Sesvete,Alfa Romeo,Giulietta,13.500 €,2017. godište,Benzin,88 kW,hatchback,5,166660 km,https://www.njuskalo.hr/auti/alfa-romeo-giulietta-1.4-tb-16v-oglas-42298800
