linenum,lat,lng,county,city,carBrand,carModel,price,yearOfDistribution,motor,power,oblikVozila,brojVrata,mileage,url
1,45.754044789319,16.059034565561,Zagrebačka,Velika Gorica - Okolica,Daewoo,Kalos,2.450 €,2004. godište,Benzin,61 kW,limuzina,5,80 km,https://www.njuskalo.hr/auti/daewoo-kalos-1.4-16v-sx-80-tisuca-plin-atest-prvi-vlasnik-hr-auto-oglas-42277651
2,45.18155,18.02578,Brodsko-posavska,Slavonski Brod,Daewoo,Lanos,1.300 €,1998. godište,Benzin,55 kW,limuzina,5,122500 km,https://www.njuskalo.hr/auti/daewoo-lanos-1.5-oglas-42057407
3,45.805566774747,15.954787731171,Grad Zagreb,Trešnjevka - Sjever,Daewoo,Matiz,900 €,2000. godište,Benzin,38 kW,hatchback,5,94755 km,https://www.njuskalo.hr/auti/daewoo-matiz-se-oglas-41921539
4,43.25969,17.104641,Splitsko-dalmatinska,Podgora,Daewoo,Lanos,900 €,1997. godište,Benzin,63 kW,limuzina,5,263000 km,https://www.njuskalo.hr/auti/daewoo-lanos-1.5-oglas-41521190
5,45.81152600863587,15.898634522531925,Grad Zagreb,Stenjevec,Daewoo,Matiz,1.050 €,2000. godište,Benzin,38 kW,hatchback,5,141000 km,https://www.njuskalo.hr/auti/daewoo-matiz-se-oglas-42031164
6,43.759747737186,15.873148191445,Šibensko-kninska,Šibenik,Daewoo,Matiz,2.170 €,1999. godište,Benzin,38 kW,hatchback,5,185808 km,https://www.njuskalo.hr/auti/daewoo-matiz-se-registriran-04-2024-g-oglas-40137248
